,job_title,company_name,url,job_location,job_time_posted,job_applicants_applied,job_role,job_details
37,Cloud Engineer Intern (HCM and HN location),Noventiq Vietnam,https://www.linkedin.com/jobs/view/4197835599/eBP=NON_CHARGEABLE_CHANNEL&refId=d24I9kufpePdqMCA1AUqlg%3D%3D&trackingId=YQAiB8L9NJQsynTvk71PqA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",4 days ago,Over 100 applicants,"Hybrid,Internship,0 of 8 skills match Required skills are missing from your profile,0 of 8 skills match","cloud developer intern,about us,: noventiq (noventiq holdings plc) is a premier global provider of cutting-edge digital transformation and cybersecurity solutions, headquartered in london. we empower businesses to thrive in the digital age, connecting them with top-tier it vendors and delivering our own innovative services and proprietary solutions.,why noventiq,our success is driven by a robust three-dimensional strategy focused on expanding our market presence, diversifying our product portfolio, and enhancing our sales channels. through strategic m&a activities, we are poised to capitalize on industry consolidation and achieve unprecedented growth. with a dynamic team of approximately 6,400 employees operating in around 60 countries, we have a significant footprint in regions with immense growth potential, including latin america, emea, apac, and a notable presence in india.,your opportunity,: join a globally recognized organization, celebrated with multiple ""great place to work"" awards. at noventiq, your ideas matter. we foster an environment where innovation thrives and collaboration is a cornerstone. be a part of our journey to drive digital transformation worldwide.,ready to make an impact,if you're passionate about shaping the future of digital transformation and cybersecurity, we want you on our team. join us and be a part of a global organization where your contributions are valued, and your potential is limitless. join us today!,now weơre looking for,cloud engineer intern,to bring your talent to noventiq vietnam. youơll be a part of our services delivery team.,what youơll do:,creative, multi-tasking, self-motivated,participation in delivering projects based on microsoft on-premises services (active directory, exchange server), microsoft 365 services, microsoft security and azure cloud platform;,writing project documentation and user\admin guides;,training sessions for customers.,knowledge and skills:,entry-level, 3rd/4th-year students or fresher to 6 months experience,own basic knowledge in core it principles and background/major in computer science,good command of english (written and spoken),hands-on experience is a plus,vietnam nationality only,what we offer:,working time: mond-fri, flexible working time.,allowance,4,000,000 vnd/ month,opportunity to be upgraded to full-time employee,get experience in cloud migration service,learn and get microsoft azure certificates,participate in azure cloud architecture design,learn microsoft 365 and modern workplace service,learn microsoft on-premises services such as active directory, exchange server,on-the-job training and participation in practical projects,opportunities to work with global colleagues from different cultures,performance review and upgrade full-time employee,other activities: exciting engagement events, training opportunities, etc.,donơt forget to include your cv and cover letter. we receive a lot of applications, but we try to notice each of our potential candidates."
38,Partnership Trainee,PMAX - Total Performance Marketing,https://www.linkedin.com/jobs/view/4202347464/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=vVFs1QZexglY%2BytFSVw%2B9Q%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",5 hours ago,2 people clicked apply,"Hybrid,Full-time","objectives,we are looking for a partnership trainee who will be responsible for identifying the companyơs growth opportunities through innovative referral networks and driving performance of these networks to achieve the sales targets that align with pmaxơs mission. you will work closely with our experienced partnership lead to build and maintain strong partner and client relationships, together making a huge impact in the sustainable growth of pmax.,job description,business development:,partner identification: research potential partners (agencies, freelancers) aligned with pmaxơs value chain.,proposal support: assist in drafting partnership proposals and pitch materials under senior guidance.,relationship maintenance: track partner performance metrics and support follow-ups to nurture collaborations.,pipeline assistance: help manage sales pipelines and forecast data for reviewing and enhancing the monetization of each channel through scalable programs, continuously seeking for qualified deals from referrers,referral client acquisition: approach leads to create sales opportunities and coordinate with the team to convert clients and also manage the sales process effectively, from prospect development to proposal, presentation, and closing negotiations, to achieve company goals.,reporting: weekly/monthly/quarterly reviews on performance & insights about overall funnels & pipelines,support channel establishment:,framework development: aid in creating processes for onboarding partners, contract management and execution.,resource coordination: collaborate with internal marketing team to enhance partnership activities,support partnership lead to build and continuously modify the channel sales strategy and referral program to maximize both the scalability and productivity.,cross-functional collaboration:,communication bridge: facilitate information flow between partnerships, marketing, sales, and trading teams.,issue resolution: proactively address minor operational challenges between partners and internal stakeholders.,job requirements,qualifications,must have:,final-year student or recent graduate major in business administration/marketing, communications or related field.,confident and effective communication skills, both vietnamese and english.,strong research and problem-solving skills.,basic understanding of b2b partnerships, sales, or marketing (internship experience preferred),resilience & mental toughness to overcome challenges,be able to work both independently and in a team.,strong interpersonal and communication skills.,self-motivated, can-do attitude, brings optimism and positive energy to the team.,willing to learn and challenge yourself to step out of your comfort zone.,good to have:,passionate & dynamic personality and appreciation of client impact.,strong commitment to business growth with strong influencing, persuading and project management skills.,familiarity with agency workflows or digital marketing.,proactive attitude with a passion for innovation and client impact,pmax-er identification,client impact: everything we do is ultimately to deliver real client impact and value.,innovation: innovation is to drive change and innovative new ideas to create more values for clients, teams and society.,people development: people development is to attract, develop, and retain the most talented people. development is a responsibility, not a choice, of both the individual as well as the organization.,integrity: integrity is to be honest and show a consistent and uncompromising adherence to what is right, even if it is at our own cost.,teamwork and fun: teamwork and fun is the cooperative and collaborative effort of a team to achieve a common goal or to complete a task, and trying to build a joyful & enjoyable atmosphere for everyone.,extreme ownership: extreme ownership is the practice of owning everything in your world, to an extreme degree. think of yourself as the owner of the company. it means you are responsible for not just those tasks which you directly control, but for all those that affect whether or not your task is successful.,benefits,competitive salary range with quarterly incentives after the internship, and 13th-month salary.,flexible working time with up to 4 days working from home per month and 15 paid leaves per year,parking allowance,team bonding budget quarterly, snack time to engage team members,quarterly, yearly recognition gifts & awards and gifts on special occasions (birthday, new yearé),holiday activities; company trip; year end party; company birthday; culture day; quarterly town hall.,insurance as full salary (shui) after the program (for official employees).,annual health check-up and healthcare insurance pvi (for official employees).,laptop supply/allowance or support for laptop purchase costs on an individual basis (for official employees).,internal training & career development opportunities, and external l&d budget sponsorship (for official employees).,other staff welfare allowances.,mentorship from senior leaders in the growth team.,hands-on training in partnership strategy and business development.,job summary,year of experience:,not required,job level,trainee,report line,partnership lead,peer,marketing, business development,subordinate,none,salary range,4,000,000 vnd gross,hiring purpose,new hire,working location:,6th floor, tuong viet building 95 cach mang thang 8, dist. 1, ho chi minh city, vietnam,apply now"
39,Web Developer Intern,BigIn,https://www.linkedin.com/jobs/view/4193871672/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=RlN2nE8TcxkcCiSkDwMneA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,Over 100 applicants,"On-site,Internship","company description,we are hiring for partner of bigin - nixxis vietnam,a part of nixxis group.,about nixxis group: founded in 2005, nixxis was born to revolutionize contact centers and deliver an unforgettable customer experience. over the years, weơve evolved and adapted to the needs of companies seeking to distinguish themselves through exceptional customer service.,faced with the advent of new technologies, nixxis has embraced the potential of digital advances to push back the frontiers of customer experience. we have leveraged artificial intelligence, automation, and personalization of interactions, creating the nixxis contact suiteñone of the solutions revolutionizing the world of customer relations today.,at the heart of nixxis are fundamental values that guide every decision and action. excellence, continuous innovation, and close collaboration with our customers are our key pillars. in a highly competitive environment, nixxis stands out for its high-performance, powerful, and reliable tools. we have invested significantly in r&d and trained highly qualified teams to provide our customers with the best possible service.,job description,we are seeking web developers skilled in .net and javascript. the ideal candidate will possess strong english communication skills to collaborate effectively with our international clients. experience with call center software is a plus.,key responsibilities:,thorough understanding of the product development process.,being guided by senior developersto research and develop projects,practicing in develop, and maintain scalable web applications using .net (c#) and javascript (vue.js).,collaborate with cross-functional teams to understand business requirements and deliver high-quality solutions.,engage in regular code reviews, share feedback, and continuously improve processes.,adapt to evolving project needs and contribute to problem-solving discussions.,qualifications,have knowledge in .net (c#) for backend development.,working & understanding of modern javascript frameworks (e.g., react, angular, vue.js).,familiarity with restful apis, database management (sql/nosql), and version control (git).,good verbal and written communication skills in english.,strong product mindset đ you care about delivering value to users and improving the user experience.,proactive problem-solver with a willingness to learn and grow.,additional information,you will join a young and dynamic team with flexible working environment.,allowance: 2.000.000 vn/month,free coffee & tea, snack everyday,happy hour & workshops every friday afternoon,sport activities (football & badminton are fully sponsored),annual company trip, year-end party, monthly building, etc.,benefits according to the vietnam labor laws,gifts for birthday, wedding, mid-autumn fesstival, ..."
40,System Design Engineering Intern - Bachelors,Marvell Technology,https://www.linkedin.com/jobs/view/4166285820/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=3%2F1YPrG4lxlLYCTTKds8rw%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Reposted 2 weeks ago,74 people clicked apply,Full-time,"about marvell,marvellơs semiconductor solutions are the essential building blocks of the data infrastructure that connects our world. across enterprise, cloud and ai, automotive, and carrier architectures, our innovative technology is enabling new possibilities.,at marvell, you can affect the arc of individual lives, lift the trajectory of entire industries, and fuel the transformative potential of tomorrow. for those looking to make their mark on purposeful and enduring innovation, above and beyond fleeting trends, marvell is a place to thrive, learn, and lead.,your team, your impact,our team work on phy and aec product validation. we focus on 112g/224g serdes performance, electrical compliance characterization.,as system engineering team at marvell, we value your ideas and your work will have a direct impact to the product of company.,what you can expect,contribute as a member of system engineering team, engage with functional teams such as digital, analog, firmware, to develop marvellơs next gen, high-speed networking phy serdes ip/ics.,work independently and collaboratively in post-silicon validation team, to collect, analyze massive data from bench and drive tuning parameters in silicon to ensure productơs quality.,characterize electrical parameters and building blocks such as tx jitters, cdr loops, ctle, pll, etc.,tune internal circuitries such as peaking, bandwidth, fifo, and adaptation algorithms to optimize productơs operating margin at stressed pvt conditions.,involve in system level hardware (pcb schematics) and work with si and layout teams to build engineering boards.,create, maintain and own bench automation libraries (python) for various of products.,what we're looking for,bs/ms of ee/ce with relevant experience.,solid foundation of analog/mixed-signal knowledge.,solid understanding of modern high-speed phy/serdes.,strong teamwork and communication skills.,demonstrates good analysis and problem-solving skills.,preferred skills,hands-on lab instruments experience, such as oscilloscope, network analyzer, signal generators.,solid programming skill in languages such as python, matlab, etc.,strong documentation skills.,previous tracked record on working in serdes and system hardware team preferred.,additional compensation and benefit elements,with competitive compensation and great benefits, you will enjoy our workstyle within an environment of shared collaboration, transparency, and inclusivity. weơre dedicated to giving our people the tools and resources they need to succeed in doing work that matters, and to grow and develop with us. for additional information on what itơs like to work at marvell, visit our,careers,page.,all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status."
41,Senior Business Development Executive,CPG Vietnam,https://www.linkedin.com/jobs/view/4202169322/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=jNE4jqWYAAUx%2BJRxErUCLg%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",17 hours ago,2 applicants,"On-site,Full-time","cpg is one of the leading development professionals in the asia-pacific region providing a broad,spectrum of architectural and engineering design consultancy services for building and,infrastructure development. cpgơs portfolio of projects includes commercial and residential,offices, airports, hospitals, educational institutions, industrial parks, roads, bridges, water and,wastewater. cpg operates in over 20 countries, including singapore, china, india, the,middle east, and south east asia.,cpg vietnam co., ltd. is looking for qualified, talented and dynamic candidates for the full-time,position of deputy manager/senior executive for business development department to work in,the hanoi and ho chi minh office.,job description,report to the bd manager, and work closely with other bd executives;,identify new business opportunities and contribute to market expansion efforts;,build and maintain strong relationships with key clients, stakeholders, and industry partners;,prepare presentations, and business cases to secure new projects.,take the lead in planning the tender process;,strong skills in preparing proposals for tender submissions for various consultancy services;,strong strategic business development skills and orientation;,develop and implement sales & marketing plans in the relevant market sectors;,collaborate and coordinate with various internal business units and divisions within the cpg corporation in singapore and other countries;,represent the company at industry events, conferences, and networking.,assist bd manager to set up, maintain and develop close relationships with clients, media reporters, authorities and partners;,assist group business development manager in developing business development division regarding new and current markets;,other tasks and bd reports as requested by bd manager.,job requirements,minimum education/qualifications,bachelorơs degree in business administration, marketing, economics, or a related field.,proficiency in english and vietnamese (both written and spoken).,minimum 5 years of experience in business development, sales, or consultancy services,technical competencies,deep knowledge in sales and marketing, preferably in the services or consultancy business,knowledge of all aspects of development and building projects in tune with the business and various market sectors,good understanding of the building and construction industry in vietnam,enterprising with the drive and mindset to identify prospective market sectors, and clients and develop local network contacts.,professional microsoft office: word, excel, powerpoint,functional competencies,ability to work independently, manage multiple projects, and meet deadlines.,good communication, negotiation, and interpersonal skills.,detail oriented and problem-solving skills.,willingness to travel for business purposes.,careful, agile, honest, and enthusiastic and keep confidentiality,willing to work under pressure,strong teamwork and collaboration"
42,Artificial Intelligence Engineer,Hashlist,https://www.linkedin.com/jobs/view/4183924186/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=icg4h5nzdngka9T4enWcfQ%3D%3D&trk=flagship3_search_srp_jobs,Vietnam,2 weeks ago,Over 100 people clicked apply,"Remote,Full-time,0 of 6 skills match Required skills are missing from your profile,0 of 6 skills match","hashlist is a platform for tech positions & projects within the automotive industry.,we establish supplier relationships with automotive companies and provide a one-stop shop for candidates interested in working in the industry.,are you ready to be a part of that journey,as an,artificial intelligence engineer,you will join our trusted network to work on cutting-edge r&d projects in the automotive sector, contributing to innovative solutions that enhance autonomous driving capabilities and the safety of tomorrow. you will bring deep expertise in machine learning and artificial intelligence, ideally with prior experience in developing autonomous products, radar systems, or applications that heavily leverage ai capabilities. the ideal candidate will have a proven track record of building secure, high-performing solutions designed to meet industry standards.,your presence can be in ho chi minh city, hanoi, or danang.,occasional traveling is required but you can work 80% from home.,responsibilities:,design, implement, and optimize ai models and algorithms for automotive sector applications, including autonomous systems, radars, and ai-driven decision-making tools.,develop secure, high-performance software solutions tailored to meet the stringent requirements of automotive industry projects.,identify and address vulnerabilities in ai systems, ensuring robust cybersecurity measures are integrated throughout the development lifecycle.,collaborate with cross-functional teams to align ai capabilities with overall system architectures, ensuring seamless integration and performance.,conduct rigorous testing, validation, and documentation of ai solutions to ensure reliability, scalability, and compliance with industry standards.,qualifications:,master's or ph.d. in computer science, machine learning, or related field,strong skills in pattern recognition, neural networks, and algorithms.,experience in developing products that rely on ai/ml capabilities such as autonomous systems, radar technologies, or other ai-reliant applications.,expertise in machine learning frameworks (e.g., tensorflow, pytorch) and programming languages such as python, c++, or java.,familiarity with secure system design, cybersecurity principles, and compliance,next steps:,press ""apply"",we will review your application,if qualified, you will be accepted into the network and can be considered for this and similar positions & projects"
43,Project Data Engineer - Remote,CCIE,https://www.linkedin.com/jobs/view/4192338005/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=qFvuJZMKU0ZIirioSS9%2Btw%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",1 week ago,17 applicants,"Remote,Contract","it engineer with juniper vxlan experience đ project-based,remote,¥ salary: 25,000,000 vnd/month,¥ direct interview with an american employer,job description:,¥ seeking an it engineer with juniper experience.,¥ must have experience with mx420 and qfx5100 devices.,¥ strong expertise in vxlan technology, with a proven track record of vxlan implementation or migration.,¥ be a key contributor in the successful migration from a cisco legacy environment to juniper vxlan technology.,project details:,¥ migrate from cisco legacy environment to juniper vxlan technology.,¥ assist in completing vxlan deployments and migrating layer 3 customer vlans to vxlan.,job requirements: must be network engineer,¥ project-based job, requiring independent work.,¥ strong organizational and time management skills.,¥ self-motivated and disciplined.,¥ basic english skills (understanding and speaking)."
44,Artificial Intelligence Specialist,Dare to Improve,https://www.linkedin.com/jobs/view/4201429794/eBP=NON_CHARGEABLE_CHANNEL&refId=5AYhdWzlMHze%2BRmBOWFGMA%3D%3D&trackingId=uHhwrP64lhM9LbmZefA47A%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",20 hours ago,18 applicants,"Hybrid,Full-time,0 of 10 skills match Required skills are missing from your profile,0 of 10 skills match","the ideal candidate for this position will succeed in this role if they have both knowledge and technical depth about the company and the industry. this is essential as they will be a central person in the decision making process, working with multiple individuals across different teams when necessary. as a result, they will also be overseeing specific personnel.,responsibilities,manage daily operations,oversee multiple personnel,help with onboarding and training,qualifications,bachelor's degree or equivalent experience,microsoft office (outlook, excel, word, powerpoint, etc.) organized,strong leadership skills"
45,Software Engineering Intern (C++),OPSWAT,https://www.linkedin.com/jobs/view/4192842918/eBP=NON_CHARGEABLE_CHANNEL&refId=LJCSwEDVpEUcHFCQvljMKQ%3D%3D&trackingId=ZVpR5IZFn7W%2F8jWOc2gMGw%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,Over 100 people clicked apply,Internship,"opswat, a global leader in it, ot, and ics critical infrastructure cybersecurity, delivers an end-to-end platform that gives public and private sector organizations and enterprises the critical advantage needed to protect their complex networks, secure their devices, and ensure compliance. over the last 20 years our commitment to innovative technology has earned the trust of more than 1,700 organizations, governments, and institutions globally, solidifying our role in protecting the worldơs critical infrastructure and securing our way of life.,what you will be doing,analyze, design, develop and test software product features;,produce technical solution for specific problem and implement the solution;,contribute to improve the product platform;,collaborate with other team members to guarantee quality and on-time delivery;,provide recommendations for continuous improvement;,work alongside other engineers to elevate technology and consistently apply best practices,what we need from you,c++ or objective c.,object oriented programming, design patterns.,windows/ linux/ macos development experience.,if would be nice if you had,inter-process communication (ipc).,restful api, json data.,familiar with jira, teamcity, git,experience in agile development,good written and verbal english communication skills,problem-solving skills,ability to study new things quickly,ability to work on multiple projects and in team,cyber security domain experience, including file security, device security, network security, etc.,bachelor or masterơs degrees in software engineering, information technology, computer sciences or mathematics.,opswat is an equal opportunity employer. we celebrate diversity and are committed to providing an environment where equal employment opportunities are extended to all employees and applicants, free of discrimination and harassment of any type. all employment decisions are based on individual qualifications, job requirements, and business needs without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other category protected by federal, state, or local laws.,recruiting agencies: we do not accept unsolicited resumes from third party agencies for any of our open positions. to submit resumes for our jobs, there must be a recruiting contract approved by our legal team and endorsed by both parties. we are currently not accepting additional 3rd party agencies at this time."
46,Hardware / Firmware validation engineer (Relocate to Taiwan),HCLTech Vietnam,https://www.linkedin.com/jobs/view/4197739323/eBP=NON_CHARGEABLE_CHANNEL&refId=LJCSwEDVpEUcHFCQvljMKQ%3D%3D&trackingId=%2FhsuxwfZlVmNsWpCsygjJw%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",2 days ago,11 applicants,"On-site,Full-time","hcltech vietnam ltd,hcltech is a global technology company, home to more than 220,755 people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and ai, powered by a broad portfolio of technology services and products. we work with clients across all major verticals, providing industry solutions for financial services, manufacturing, life sciences and healthcare, technology and services, telecom and media, retail and cpg, and public services. consolidated revenues as of 12 months ending dec 2024 totaled $13.8 billion. to learn how we can supercharge progress for you, visit hcltech.com. to know more about career opportunities, visit: supercharged careers in vietnam | find your spark (hcltech.com).,location 1: five star tower, 28bis mc nh chi, a kao ward, district 1, ho chi minh,location 2: leadvisors tower, 643 pham van dong, tu liem north, ha noi,hcl vietnam is seeking highly skilled and motivated,hardware / firmware validation engineers,to join our team and work onsite in taiwan. the job details and requirements are below:,job duties:,hw system integration testing,os certification,bios / bmc firmware test and os compatibility test.,issue report / analysis / debugging and feature behavior clarification.,requirements:,familiar with pc/server architecture, cpu, memory, storage and network.,advanced familiar with bios, bmc or os cv/cert test.,english written communication skills. toeic test > 350.,other requirements:,willing to learn proactively.,no restrictions on education or major,age is not a barrier; mid-career changes are welcome.,benefit,insurance plan based on full salary + 13th salary + performance bonus (based on level).,attractive salary package ¥ 100% full salary in probation period.,meal allowance 730,000 vnd/month,personal medical benefit (24/7 bao viet insurance package) and family medical benefit (based on level of experience).,18 leaves per year (including 12 annual leaves, 6 personal leaves and not including public holidays).,hcl technologies has been named by forbes as being ranked number 30 of the worldơs best employers for 2020, honoring hcl among the top global employers in the world.,for support and more information, please contact:,xuan nguyen (mrs.),phone/zalo:0939840388,email: recruit.hanoi@hcltech.com,linkedin: (8) sarah nguyen | linkedin"
47,Machine Learning Engineer,Trusting Social,https://www.linkedin.com/jobs/view/4178789045/eBP=NON_CHARGEABLE_CHANNEL&refId=XccT2jNCeIG0LTkgLOgAjA%3D%3D&trackingId=B8bQNvKCrRPx%2F5%2FT6t10hg%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 weeks ago,100 people clicked apply,"On-site,Full-time","the data science team consists of highly skilled and passionate data scientists who are committed to staying current with the latest advancements in data science, machine learning, and artificial intelligence. our team tackles a wide range of areas including credit scoring, fraudulent activity detection, profit optimization, and developing advanced technologies such as automatic speech recognition, large language models, and text-to-speech to facilitate voice communication with customers. by analyzing extensive datasets that capture daily customer behavior, we continuously uncover unique and intriguing machine learning and business challenges. our goal is to build robust machine learning models that enhance user experience and optimize the profitability of our financial products.,responsibilities,design and implement ml models to address a variety of business challenges.,develop systems to collect user feedback and iteratively enhance model performance.,create and customize agi agents to align with specific business objectives.,develop comprehensive evaluation frameworks to assess the performance and effectiveness of agi agents.,interpret data and analyze results using statistical techniques, providing detailed reports.,collaborate effectively with peers, colleagues, and managers to resolve issues and achieve common goals.,requirements,minimum 2 years of experience in it, computer science, banking, or finance.,proficiency in programming languages such as python, r, or java.,strong knowledge and hands-on experience in machine learning, statistics, and experimentation.,excellent analytical and problem-solving skills with a results-oriented mindset.,ability to solve business problems through data-driven methodologies and strong business acumen.,effective communication skills for both technical and non-technical audiences.,demonstrated ability to innovate and research solutions for business challenges.,experience with sql databases and statistical analysis.,familiarity with bank-related products like unsecured personal loans and credit cards is preferred.,experience in big data processing is a plus.,what we offer,competitive compensation package, including 13th-month salary and performance bonuses,comprehensive health care coverage for you and your dependents,generous leave policies, including annual leave, sick leave, and flexible work hours,convenient central district 1 office location, next to a future metro station,onsite lunch with multiple options, including vegetarian,grab for work allowance and fully equipped workstations,fun and engaging team building activities, sponsored sports clubs, and happy hour every thursday,unlimited free coffee, tea, snacks, and fruit to keep you energized,an opportunity to make a social impact by helping to democratize credit access in emerging markets,about us,trusting social (ts) is an ai fintech company specialized in assessing credit profiles of consumers in emerging markets combining pioneering ai with large alternative data sources. in 2020 we reached our ambitious milestone of credit profiling 1bn consumers spanning 4 countries---vietnam, indonesia, india & the philippines---and building a platform for the wider industry and the financial services industry in particular to provide the 'un & under' served access to credit. at the core of this initiative has been our strict and unwavering adherence to the norms of consumer data privacy and consumer data rights.,but we're not satisfied as we embark on the next leg of our journey to deliver 100 million credit lines to consumers in the markets where we operate. although this goal is ambitious, we truly believe that by harnessing the power of ai & big data we can deliver financial access at unprecedented scale.,as a firm, we're audacious problem solvers motivated by our impact on society. we deeply espouse the values of ownership - of our actions and initiatives, integrity in all we do and agility in execution.,we are partnering with banks which are embracing changes toward digital banking. these changes are exciting but complex, and we are looking for team members who are motivated by big challenges and are ready to dive headlong into helping us grapple with complexity, build solutions, and turn our visions into a reality. join us, if you have the talent and desire to deliver financial access for all by advancing data science and technology.,additional info,learn more about us here:,https://www.youtube.com/watchv=inaedgvocl8&t=29s"
48,Application Engineering Intern - Bachelors,Marvell Technology,https://www.linkedin.com/jobs/view/4070988223/eBP=NON_CHARGEABLE_CHANNEL&refId=LJCSwEDVpEUcHFCQvljMKQ%3D%3D&trackingId=IHVe4c8bts9A8FeZedR2Xg%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Reposted 2 weeks ago,Over 100 people clicked apply,Full-time,"about marvell,marvellơs semiconductor solutions are the essential building blocks of the data infrastructure that connects our world. across enterprise, cloud and ai, automotive, and carrier architectures, our innovative technology is enabling new possibilities.,at marvell, you can affect the arc of individual lives, lift the trajectory of entire industries, and fuel the transformative potential of tomorrow. for those looking to make their mark on purposeful and enduring innovation, above and beyond fleeting trends, marvell is a place to thrive, learn, and lead.,your team, your impact,our team is a key part of marvell's networking business unit providing switching and infrastructure solutions to enterprise, data center, service providers, small business and digital home customers. the ethernet phy applications engineering team drives key design wins and support for 10-gigabit, multi-gigabit, 1-gigabit, and fast ethernet phy products.,what you can expect,currently pursuing a degree in electrical engineering or a related field.,strong analytical and problem-solving skills.,familiarity with python is a plus.,excellent communication and teamwork abilities.,eagerness to learn and take on new challenges.,what we're looking for,we are looking for an enthusiastic electrical engineering intern to join our team. this internship offers hands-on experience in the field of electrical engineering, allowing you to apply your academic knowledge while working on real-world projects.,support the testing and evaluation of prototypes and existing products.,conduct experiments and simulations to validate design concepts.,participate in engineering meetings to discuss project progress and ideas.,conduct research on current technologies and industry standards.,analyze data from tests to identify performance trends and issues.,support in troubleshooting and resolving electrical issues in systems.,assist in the design and development of electrical systems and components.,help create technical documentation, including reports and specifications.,assist with troubleshooting and resolving electrical issues in existing systems.,collaborate with cross-functional teams on project tasks and objectives.,help maintain laboratory equipment and test facilities.,use engineering software tools for simulations and testing.,contribute to the preparation of presentations for project findings.,perform quality assurance checks on electrical components and systems.,assist in the collection and analysis of test data.,participate in safety audits and compliance checks.,support inventory management of electrical components and tools.,shadow experienced engineers to learn best practices and techniques.,assist with field testing and data collection as needed.,engage in professional development activities, including training sessions.,additional compensation and benefit elements,with competitive compensation and great benefits, you will enjoy our workstyle within an environment of shared collaboration, transparency, and inclusivity. weơre dedicated to giving our people the tools and resources they need to succeed in doing work that matters, and to grow and develop with us. for additional information on what itơs like to work at marvell, visit our,careers,page.,all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status."
